Fleet Name,Log.Event Dt,Pumping Hours,Transition Time (hrs),NPT_int,Time Available (hrs),NPT_ext,Ranking Score,Daily_Rank
Frac 38,2024-08-04,5.3774999999999995,1.085833333,0.5375,13.508888888,12.929444444,6.47890700458593,1.0
Frac 32,2024-08-04,15.342777779,0.349444445,0.004444444,15.885555556,0.0,0.9435545919159669,2.0
Frac 21,2024-08-04,15.905277778,0.8049999999999999,0.311111111,17.19861111,0.0,0.8599047081424471,3.0
Frac 10,2024-08-04,15.231666666,1.027222222,0.0,17.048055552,0.0,0.8332002673661865,4.0
Frac 40,2024-08-04,16.394166666,2.864444443,0.755277778,20.111944442,0.0,0.635167051193866,5.0
Frac 39,2024-08-04,5.535833333999999,1.5,0.180833333,7.465277778,0.027222222,0.5182806140632166,6.0
Frac 90,2024-08-04,0.218055556,0.339444444,0.0,4.886388888,8.515555553999999,0.03344814365712022,7.0
Frac 18,2024-08-04,6.601111111,1.230833333,0.0,21.259999999,26.622222221999998,-1.0015022792165256,8.0
Frac 90,2024-08-05,14.039999999,2.336111108,0.096111111,19.054722221,3.74777778,0.7583340897813874,1.0
Frac 40,2024-08-05,13.555,1.828055555,0.0,15.493888888,0.0,0.7568754706949334,2.0
Frac 18,2024-08-05,4.612777778,0.7702777780000001,0.0,12.065555556,6.574166667,0.6997319034710966,3.0
Frac 38,2024-08-05,10.995555555,1.892222222,1.1413888879999998,14.544444443,0.597777778,0.570885118017553,4.0
Frac 08,2024-08-05,10.1425,7.810833334,0.0,18.068888889,0.0,0.12904316808431288,5.0
Frac 10,2024-08-05,8.263888888,3.6577777780000003,10.945000003,22.935555558,0.0,-0.27637825807053423,6.0
Frac 90,2024-08-06,13.485,0.635277777,0.137222222,14.428055556,0.0,0.8810958588049949,1.0
Frac 32,2024-08-06,13.649722222,0.7852777790000001,0.209166667,15.06527778,0.487777778,0.8681377310419293,2.0
Frac 40,2024-08-06,10.90111111,1.670555555,0.635277778,16.445555554,6.250555556,0.8430875702487667,3.0
Frac 10,2024-08-06,12.003055557,1.748888888,0.0,13.986388889,0.0,0.7331532642471199,4.0
Frac 38,2024-08-06,13.656666667,3.3141666659999998,0.404444444,19.199722222,3.341111112,0.6266661997111046,5.0
Frac 18,2024-08-06,3.925833333,1.1775,0.0,18.564166666,13.419166666,0.5341755749271139,6.0
Frac 39,2024-08-06,7.709444445,2.501388889,6.4688888890000005,17.848333334,0.0,-0.07064151646014977,7.0
Frac 32,2024-08-07,11.975555557,0.7544444450000001,0.099722222,14.761111114,3.676666666,1.003332998976477,1.0
Frac 40,2024-08-07,3.3455555560000003,0.5,0.0,4.198333334,0.663888888,0.8050927379040774,2.0
Frac 18,2024-08-07,2.437777778,0.700555556,0.0,11.397777778,8.123333333,0.5305395315693011,3.0
Frac 90,2024-08-07,13.021388888999999,5.399166666,0.0,18.554166666,0.0,0.41080919236149316,4.0
Frac 39,2024-08-07,0.0,0.0,0.0,24.0,48.0,-0.0,5.0
Frac 08,2024-08-07,2.8200000000000003,1.926111111,1.133333333,6.00611111,0.0,-0.03986680226433567,6.0
Frac 38,2024-08-07,5.185833333,0.5,0.0,20.674722221,29.449999998,-0.5339811971857538,7.0
Frac 21,2024-08-07,0.0,0.0,0.0,0.0,0.0,,
